,Campaign,Club,Name,Price,Rating
0,Bundesliga TOTSSF,Bayern München,Robert Lewandowski,1780000.0,99
1,LaLiga TOTSSF,FC Barcelona,Lionel Messi,3500000.0,99
2,PL TOTSSF,Manchester City,Kevin De Bruyne,2870000.0,99
3,PL TOTSSF,Liverpool,Virgil van Dijk,2400000.0,99
4,Serie A TOTSSF,Piemonte Calcio,C. Ronaldo dos Santos Aveiro,4829000.0,99
5,Ligue 1 TOTSSF,Paris Saint-Germain,Kylian Mbappé,3680000.0,98
6,Ligue 1 TOTSSF,Paris Saint-Germain,Neymar da Silva Santos Jr.,5871000.0,98
7,PL TOTSSF,Liverpool,Sadio Mané,1145000.0,98
8,Bundesliga TOTSSF,RB Leipzig,Timo Werner,1025000.0,97
9,LaLiga TOTSSF,Real Madrid,Karim Benzema,480000.0,97
10,LaLiga TOTSSF,FC Barcelona,Luis Suárez,1125000.0,97
11,LaLiga TOTSSF,Real Madrid,Raphaël Varane,1660000.0,97
12,Ligue 1 TOTSSF,AS Monaco,Wissam Ben Yedder,4745000.0,97
13,PL TOTSSF,Liverpool,Alisson Ramses Becker,250000.0,97
14,PL TOTSSF,Liverpool,Mohamed Salah,888000.0,97
15,Serie A TOTSSF,Lazio,Luis Alberto Romero Alconchel,179000.0,97
16,Bundesliga TOTSSF,Borussia Dortmund,Jadon Sancho,629000.0,96
17,Bundesliga TOTSSF,Bayern München,Joshua Kimmich,222000.0,96
18,Bundesliga TOTSSF,Borussia Dortmund,Mats Hummels,148000.0,96
19,Eredevisie TOTSSF,Ajax,Hakim Ziyech,190000.0,96
20,LaLiga TOTSSF,FC Barcelona,Antoine Griezmann,760000.0,96
21,LaLiga TOTSSF,Atlético de Madrid,Jan Oblak,149000.0,96
22,LaLiga TOTSSF,Real Betis Balompié,Nabil Fekir,411000.0,96
23,LaLiga TOTSSF,Real Madrid,Sergio Ramos García,1490000.0,96
24,LaLiga TOTSSF,Real Madrid,Toni Kroos,225000.0,96
25,PL TOTSSF,Arsenal,Pierre-Emerick Aubameyang,1255000.0,96
26,PL TOTSSF,Manchester City,Sergio Agüero,1360000.0,96
27,Ligue 1 TOTSSF,Paris Saint-Germain,Ángel Di María,290000.0,96
28,Serie A TOTSSF,Atalanta,Alejandro Gómez,787000.0,96
29,Serie A TOTSSF,Lazio,Ciro Immobile,153000.0,96
30,Serie A TOTSSF,Atalanta,Josip Iličić,155000.0,96
31,Serie A TOTSSF,Inter,Lautaro Martínez,1145000.0,96
32,MLS TOTSSF,Los Angeles FC,Carlos Vela,173000.0,96
33,TOTGS,FC Barcelona,Lionel Messi,1301000.0,96
34,Shapeshifter,FC Barcelona,Lionel Messi,1301000.0,96
35,Headliner,Bayern München,Robert Lewandowski,395000.0,96
36,Bundesliga TOTSSF,Borussia Dortmund,Erling Braut Håland,619000.0,95
37,Bundesliga TOTSSF,Borussia Dortmund,Marco Reus,940000.0,95
38,Bundesliga TOTSSF,Bayern München,Thomas Müller,345000.0,95
39,CSL TOTSSF,Guangzhou Evergrande Taobao,Paulinho,735000.0,95
40,Eredevisie TOTSSF,Ajax,Quincy Promes,438000.0,95
41,LaLiga TOTSSF,FC Barcelona,Marc-André ter Stegen,285000.0,95
42,PL TOTSSF,Tottenham Hotspur,Heung Min Son,1133000.0,95
43,PL TOTSSF,Leicester City,Jamie Vardy,521000.0,95
44,PL TOTSSF,Manchester City,Riyad Mahrez,587000.0,95
45,PL TOTSSF,Liverpool,Trent Alexander-Arnold,350000.0,95
46,LATAM TOTSSF,Buenos Aires,Carlos Tévez,237000.0,95
47,Ligue 1 TOTSSF,Paris Saint-Germain,Marco Verratti,130000.0,95
48,Ligue 1 TOTSSF,Paris Saint-Germain,Thiago Emiliano da Silva,139000.0,95
49,Serie A TOTSSF,Inter,Stefan de Vrij,193000.0,95
50,Serie A TOTSSF,Piemonte Calcio,Wojciech Szczęsny,143000.0,95
51,ROTW TOTSSF,Dinamo Zagreb,Mislav Oršić,210000.0,95
52,Shapeshifter,Piemonte Calcio,C. Ronaldo dos Santos Aveiro,1073000.0,95
53,Headliner,Paris Saint-Germain,Neymar da Silva Santos Jr.,3148000.0,95
54,Bundesliga TOTSSF,Eintracht Frankfurt,Filip Kostić,130000.0,94
55,Bundesliga TOTSSF,Bayer 04 Leverkusen,Kai Havertz,282000.0,94
56,Bundesliga TOTSSF,Borussia M'gladbach,Yann Sommer,119000.0,94
57,CSL TOTSSF,Shanghai SIPG,Hulk,220000.0,94
58,CSL TOTSSF,Beijing Sinobo Guoan,Renato Augusto,126000.0,94
59,Eredevisie TOTSSF,Ajax,Donny van de Beek,128000.0,94
60,Eredevisie TOTSSF,AZ,Oussama Idrissi,117000.0,94
61,FUT Birthday,Real Madrid,Eden Hazard,749000.0,94
62,FUT Birthday,Paris Saint-Germain,Kylian Mbappé,5499000.0,94
63,LaLiga TOTSSF,Real Madrid,Daniel Carvajal Ramos,190000.0,94
64,LaLiga TOTSSF,FC Barcelona,Frenkie de Jong,730000.0,94
65,PL TOTSSF,Liverpool,Andrew Robertson,257000.0,94
66,PL TOTSSF,Liverpool,Jordan Henderson,188000.0,94
67,PL TOTSSF,Manchester United,Marcus Rashford,359000.0,94
68,LaLiga TOTSSF,Villarreal CF,Santiago Cazorla González,190000.0,94
69,LATAM TOTSSF,Buenos Aires,Eduardo Salvio,149000.0,94
70,LATAM TOTSSF,Núñez,Ignacio Fernández,119000.0,94
71,Liga NOS TOTSSF,FC Porto,Alex Nicolao Telles,380000.0,94
72,Liga NOS TOTSSF,SL Benfica,Luis Miguel Afonso Fernandes,149000.0,94
73,Ligue 1 TOTSSF,Olympique Lyonnais,Houssem Aouar,300000.0,94
74,Ligue 1 TOTSSF,Paris Saint-Germain,Marcos Aoás Corrêa,286000.0,94
75,Ligue 1 TOTSSF,Olympique Lyonnais,Memphis Depay,263000.0,94
76,Ligue 1 TOTSSF,LOSC Lille,Renato Júnior Luz Sanches,540000.0,94
77,Serie A TOTSSF,Roma,Chris Smalling,180000.0,94
78,Serie A TOTSSF,Piemonte Calcio,Paulo Dybala,583000.0,94
79,Serie A TOTSSF,Inter,Samir Handanovič,124000.0,94
80,Serie A TOTSSF,Lazio,Sergej Milinković-Savić,197000.0,94
81,MLS TOTSSF,Atlanta United FC,Josef Martínez,230000.0,94
82,ROTW TOTSSF,Gent,Jonathan David,155000.0,94
83,Headliner,Liverpool,Mohamed Salah,380000.0,94
84,Bundesliga TOTSSF,RB Leipzig,Dayot Upamecano,559000.0,93
